component,action,start,end,duration,status
pickplace,move_to_home_final,1779780524.980471,1779780534.0193205,9.038842916488647,ok
pickplace,gripper_close,1779780534.019918,1779780537.029025,3.0091018676757812,ok
controller,pickplace_total,1779780493.052658,1779780537.1041136,44.051451444625854,ok
controller,colorsensor_total,1779780537.1045678,1779780538.8829703,1.7784066200256348,ok
sorter,move_to_home_initial,1779780538.9518387,1779780545.4749556,6.523107290267944,ok
sorter,gripper_open,1779780545.475598,1779780548.484613,3.0090081691741943,ok
sorter,move_to_color_sensor,1779780548.4852428,1779780555.0049212,6.519671678543091,ok
sorter,gripper_close,1779780555.0056508,1779780558.0143774,3.0087220668792725,ok
sorter,throwing_block,1779780558.0149543,1779780568.5470579,10.532102823257446,ok
sorter,gripper_close,1779780568.5473924,1779780571.5532353,3.005837917327881,ok
sorter,move_to_home_final,1779780571.553557,1779780580.5827737,9.029207706451416,ok
controller,sorter_total,1779780538.8833933,1779780580.637989,41.754592180252075,ok
pickplace,move_to_home_initial,1779780580.6737528,1779780587.1957195,6.52195930480957,ok
pickplace,conveyor_belt_running_until_object_detected,1779780587.204849,1779780588.2746882,1.0698363780975342,ok
pickplace,gripper_open,1779780588.275607,1779780591.2849653,3.0093514919281006,ok
pickplace,move_to_pick,1779780591.2855773,1779780597.8155565,6.529972076416016,ok
pickplace,gripper_close,1779780597.8161469,1779780600.8246577,3.0085067749023438,ok
pickplace,move_to_color_sensor,1779780600.825287,1779780609.864421,9.039127826690674,ok
pickplace,gripper_open,1779780609.8650057,1779780612.874476,3.009467840194702,ok
pickplace,move_to_home_final,1779780612.8747983,1779780621.9139252,9.039117574691772,ok
pickplace,gripper_close,1779780621.9145167,1779780624.9231305,3.0086073875427246,ok
controller,pickplace_total,1779780580.6385596,1779780625.0926993,44.454137563705444,ok
controller,colorsensor_total,1779780625.0930922,1779780625.6639585,0.5708661079406738,ok
sorter,move_to_home_initial,1779780625.7076836,1779780632.2295053,6.521813869476318,ok
